0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2017 年 3 月
推出日期,約 2017 年 4 月
網絡系統,GSM/GPRS/EDGE: 850/900/1800/1900MHz WCDMA/HSPA: 850/900/1900/2100MHz TD-SCDMA: 1900/2000MHz LTE FDD: 850/900/1800/2100/2600MHz TD-LTE: 1900/2300/2600MHz
Sim 咭情況,單 SIM
操作系統,Android
中央處理器,MediaTek 64bit MT6737T 四核 1.4GHz CPU
操作系統及版本,Android 7
機身顏色,黑、白、粉紅
尺寸,151 x 74 x 8.7 mm
重量,180 gram
操控,輕觸式
電池種類,2640 mAh
可更換電池,不支援
通話時間,3G 長達 11 小時
備用時間,最長 630 小時
RAM 容量,2GB RAM
ROM 容量,16GB ROM
可擴充記憶,microSDXC
最大支援記憶體,256GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,支援
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"v4.1, A2DP, LE, apt-X"
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n
gps 功能,GPS、A-GPS、GLONASS
電腦連線,usb 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
