0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sony
發表日期,約 2020 年 2 月
推出日期,約 2020 年 3 月
價格,"約 HK$6,999更新日期：2021-04-22"
網絡系統,2G GSM GPRS/EDGE (頻段 850、900、1800、1900) 3G UMTS HSPA+ (頻段 1、2、4、5、6、8、19) 4G LTE Cat19/Cat13 (頻段 1、2、3、4、5、7、8、12、13、17、19、20、25、26、28、29、32、34、38、39、40、41、46、66) / LTE 6CA/2CA 5G n1、n3、n28、n7726 和 n78 頻段
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 865
圖像處理器,Adreno 650
操作系統及版本,Android 10
機身顏色,黑、白、紫、綠
尺寸,166 x 72 x 7.9 mm
重量,181 gram
操控,輕觸式
電池種類,4000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB / 12GB RAM
ROM 容量,256GB ROM
可擴充記憶,Micro SD
最大支援記憶體,1TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,OLED
螢幕解像度,3840 X 1644
螢幕備註,「由 CineAlta 提供技術支援」的 Creator 模式，靈感源自 Master Monitor 色彩重塑技術、DCI-P3 100%、ITU-R BT.2020 (REC.2020)2、Illuminant D65 白點、10 bit 漸變3、X1™ for mobile、降低動態模糊技術
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200像素
自動對焦,支援
光學防震,支援
光學變焦,3 X
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED 閃光燈
相機功能,後置相機 (1) 12MP 尺寸 1/1.7 吋 Exmor RS™ for mobile 感應器 光圈 F1.7 焦距 24 毫米 視野 82° 後置相機 (2) 解像度 12MP 尺寸 1/3.4 吋 像素尺寸 - 光圈 F2.4 焦距 70 毫米 視野 34° 後置相機 (3) 解像度 12MP 尺寸 1/2.55 吋 Exmor RS™ for mobile 感應器 光圈 F2.2 焦距 16 毫米 視野 124° 相機功能 專門為 Xperia 1 II 校準的 ZEISS® 優質鏡頭、ZEISS® T* 塗層、高達 20fps 的自動對焦/自動曝光連拍5、每秒高達 60 次的連續自動對焦/自動曝光計算6、適用於人類和動物相片的即時眼部自動對焦7、雙光電二極體8、3D iToF9、RGB-IR、OIS 相片10、閃光燈、攝影燈、3 倍光學變焦 (相當於 70 毫米鏡頭)、3 倍數碼變焦 (16、24 和 70 毫米鏡頭)、HDR (高動態範圍) 相片
短片拍攝,MP4
短片解像度,"4K 60fps, 1080p"
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC-LC、AAC+、eAAC+、AAC-ELD、AMR-NB、AMR-WB、FLAC、MP3、MIDI、Vorbis、PCM、Opus、ALAC、DSD、360 Reality Audio 音樂格式
短片播放格式,H.263、H.264、H.265、MPEG-4 影片、AV1、VP8、VP9
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE802.11a/b/g/n (2.4Ghz) /n( 5
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,USB Type-C
視頻輸出,透過支援 TypeC 傳輸線或
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
參考網址,https://www.sony.com.hk/zh/electronics/smartphones/xperia-1m2/specifications
備註,支援 IP68 防水 支援無線充電功能 PS4 Remote Play、DUALSHOCK 控制項兼容性 3.5 毫米音訊插孔 360 Reality Audio 360 Reality Audio 硬件解碼 真正前置立體聲揚聲器 Dolby Atmos DSEE Ultimate 立體聲攝錄功能 Qualcomm aptX HD 音訊
