0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,-
推出日期,-
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統及版本,Linux
機身顏色,黑色
尺寸,112 x 58 x 14.65 mm
重量,139 gram
操控,輕觸式
電池種類,鋰電池 (1100mAh)
可更換電池,不詳
通話時間,360 分鐘
備用時間,320 小時
RAM 容量,4GB storage / 128MB RAM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,16GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.55 吋
螢幕類別,TFT
螢幕解像度,480 x 272
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,320 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,-
短片拍攝,-
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC
短片播放格式,-
收音機,-
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g)
gps 功能,GPS
電腦連線,USB 2.0
視頻輸出,-
