0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2009 年 8 月
推出日期,約 2009 年 8 月
價格,"約 HK$2,980更新日期：2009-12-01"
網絡系統,HSDPA / UMTS / GSM 900 / GSM 1800 / GSM 1900
操作系統,Windows Phone
中央處理器,Qualcomm MSM7200A 528MHz
操作系統及版本,Windows Mobile 6.1 Professional
機身顏色,紅色、藍色、綠色、黑色
尺寸,95.3 x 52.5 x 12.8 mm
重量,99 gram
操控,輕觸式
電池種類,鋰電池 (920mAh)
可更換電池,不詳
通話時間,168 分鐘
備用時間,260 小時
RAM 容量,4GB
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.8 吋
螢幕類別,TFT
螢幕解像度,480 x 640
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,320 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,-
短片拍攝,QVGA@15fps
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,-
短片播放格式,-
收音機,-
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g)
gps 功能,GPS
電腦連線,USB 2.0
視頻輸出,-
