0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2013 年 5 月
推出日期,約 2013 年 5 月
價格,"約 HK$3,698更新日期：2013-07-10"
網絡系統,GSM (850/900/1800/1900 MHz) + WCDMA (850/900/1900/2100 MHz)
操作系統,Android
中央處理器,雙核 1.7GHz
操作系統及版本,Android 4.2.2
機身顏色,黑、白
尺寸,124.6 x 61.3 x 8.94 mm
重量,103 gram
操控,輕觸式
電池種類,1900mAh
可更換電池,不詳
通話時間,高達 12小時 (3G)
備用時間,高達 300小時 (3G)
RAM 容量,1.5GB RAM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.3 吋
螢幕類別,TFT
螢幕解像度,540x960
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,不支援
視像鏡頭,190 萬素
閃光燈,LED
相機功能,"對焦模式: 自動對焦、面孔偵測 拍攝模式: 有聲拍攝, HDR， 全景，美肌，最佳相片，連續拍攝，最佳面部表情 場景模式: 運動、夜間 效果: 復古、海報效果、太陽效果 、藍、紅/黃、灰階、深"
短片拍攝,mp4
短片解像度,全高清影像攝錄及播放 (1920
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3 / AMR / AAC / ACC+ / e-AAC+ / WMA / WAV / MIDI / OGG / FLAC
短片播放格式,"3gp, H.263 / H.264 / MPEG4 / WMV / AVI"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth V4.0 / A2DP
紅外線支援,不詳
流動數據,"HSDPA, HSUPA, UMTS, EDGE"
wifi 功能,Wi-Fi 802.11 a/b/g/n
gps 功能,GPS、AGPS
電腦連線,usb 2.0
視頻輸出,-
