0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2015 年 7 月
推出日期,約 2015 年 7 月
價格,"約 HK$1,798更新日期：2022-02-23"
網絡系統,"4G LTE FDD：B1(2100),B3(1800),B5(850),B7(2600),B8(900),B20(800) 3G UMTS (WCDMA)：B1(2100),B5(850),B8(900),B2(1900) 2G GSM：GSM850,GSM900,DCS1800,PCS1900"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 410 四核 1.2 GHz CPU
圖像處理器,Adreno 306
操作系統及版本,Android 5.1
機身顏色,金、白
尺寸,142.1 x 71.8 x 7.9 mm
重量,146 gram
操控,輕觸式
電池種類,"2,600 mAh"
可更換電池,支援
通話時間,3G 最長可達 16 小時
備用時間,3G 最長 320 小時
RAM 容量,1.5GB RAM
ROM 容量,8GB ROM
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,Super AMOLED
螢幕解像度,1280 X 720
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED 閃光燈
相機功能,前置頭設LED 閃光燈
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、M4A、AAC、AMR
短片播放格式,MP4、3GP
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.1 /A2DP/AVRCP
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 b/g/n
gps 功能,GPSD/ GLONASS / Beidou
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,設有雙卡雙待功能，其中一張 SIM 咭槽，可以選擇連接 4G 網絡
