0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2015 年 4 月
推出日期,約 2015 年 4 月
網絡系統,"4G TDD LTE B38(2600), B39(1900), B40(2300), B41(2500) 4G FDD LTE B1(2100), B3(1800), B7(2600), B8(900) 3G TD-SCDMA B34(2010), B39(1880) 3G WCDMA B1(2100), B2(1900), B5(850), B8(900) 2G GSM GSM850, GSM900, DCS1800, PCS1900"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,八核 1.6 GHz CPU
圖像處理器,Adreno 405 GPU
操作系統及版本,Android 6.0
機身顏色,粉紅、白、金
尺寸,151.7 X 76 X 7.8 mm
重量,170 gram
操控,輕觸式
電池種類,3300 mAh
可更換電池,支援
通話時間,3G 最長可達 17 小時
備用時間,3G 最長可達 398 小時
RAM 容量,3GB RAM
ROM 容量,16GB ROM
可擴充記憶,micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,1920 X 1080
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.1
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
