0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Samsung
發表日期,約 2011 年 2 月
推出日期,約 2011 年 2 月
價格,"約 HK$2,298更新日期：2011-09-27"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,Qualcomm QCT MSM7227-1 Turbo 800
操作系統及版本,Android OS 2.2 Froyo
機身顏色,黑色
尺寸,59.9×112.4×11.5 mm
重量,113 gram
操控,輕觸式
電池種類,鋰電池 (1350 mAh)
可更換電池,不詳
通話時間,11小時30分鐘(2G) / 6小時30分鐘(3G)
備用時間,640 小時 (2G) / 420 小時 (3G)
RAM 容量,158MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.5 吋
螢幕類別,TFT
螢幕解像度,320 x 480
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,LED
短片拍攝,QVGA
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA
短片播放格式,MPEG4、H.263、H.264
收音機,Stereo FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v3.0、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g)
gps 功能,GPS、AGPS
電腦連線,microUSB 2.0
視頻輸出,-
