0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,小米
發表日期,約 2015 年 8 月
推出日期,約 2015 年 8 月
價格,"約 HK$1,099更新日期：2015-11-04"
網絡系統,4G TDD-LTE (B38/B39/B40/B41: 2555-2655MHz) 4G FDD-LTE (B1/B3/B7) 3G TD-SCDMA (B34/B39) 3G WCDMA (B1/B2/B5/B8) 2G GSM (B2/B3/B8)
操作系統,Android
操作介面,MIUI 7
中央處理器,MTK X10 八核處理器
圖像處理器,Power VR G6200
操作系統及版本,Android 5.0
機身顏色,黑、白、黃、藍、粉紅
尺寸,152 X 76 X 8.25 mm
重量,160 gram
操控,輕觸式
電池種類,3060 mAh
可更換電池,支援
通話時間,3G 最長可達 15 小時
備用時間,3G 最長可達 330 小時
RAM 容量,2GB RAM
ROM 容量,16GB / 32GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,500 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,藍牙 v4.0
紅外線支援,支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
