0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sharp
發表日期,約 2009 年 1 月
推出日期,約 2009 年 1 月
網絡系統,UMTS / GSM 900 / GSM 1800 / GSM 1900
機身顏色,黑色、白色、粉紅色
尺寸,111 x 50 x 18.5 mm
重量,135 gram
操控,數字鍵盤
電池種類,鋰電池 (800mAh)
可更換電池,不詳
通話時間,220 分鐘
備用時間,560 小時
RAM 容量,-
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,16GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3 吋
螢幕類別,ASV
螢幕解像度,480 x 854
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,20.4X
視像鏡頭,-
閃光燈,-
短片拍攝,30fps
短片解像度,720 x 400 / 640
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,-
短片播放格式,FLV、WMV
收音機,-
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,UMTS、EDGE、GPRS
wifi 功能,-
gps 功能,-
電腦連線,USB 2.0
視頻輸出,-
