0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Sharp
發表日期,-
推出日期,-
網絡系統,HSDPA / UTMS / GSM 900 / GSM 1800 / GSM 1900
機身顏色,金黃色、綠色、藍色、黑色、粉
尺寸,101 x 48 x 15 mm
重量,95 gram
電池種類,鋰電池
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,20MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,2GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.2 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,10 萬像素鏡頭
閃光燈,-
短片拍攝,影片拍攝影片播放
短片解像度,352 x 288
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC
短片播放格式,MPEG4、3GP
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,-
紅外線支援,-
流動數據,UMTS、EDGE、GPRS
wifi 功能,-
gps 功能,-
電腦連線,-
視頻輸出,-
