0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2021 年 11 月
推出日期,約 2021 年 11 月
價格,"約 HK$2,198更新日期：2021-11-09"
網絡系統,"GSM: 850, 900, 1800, 1900 WCDMA: 1,2,4,5,8 LTE: 1, 2, 3, 4, 5, 7, 8, 12, 20, 28, 38, 39, 40, 41, 66 5G: N1/2/3/5/7/28/38/41/66/78"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 480
圖像處理器,Adreno 619
操作系統及版本,Android 11
機身顏色,藍、銅
尺寸,173.83 mm
重量,220 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,128GB
可擴充記憶,Micro SD
最大支援記憶體,512GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.82 吋
螢幕類別,TFT
螢幕解像度,1600 X 720
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED 閃光燈
相機功能,後置相機:48 MP Main AF + 5 MP Ultrawide + 2 MP Depth 前置鏡頭:8 MP 後置閃光燈 LED
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac/ax-ready
gps 功能,"GPS/AGPS, BDS, Galileo"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,18W 快速充電
