0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2010 年 5 月
推出日期,約 2010 年 5 月
價格,"約 HK$1,498更新日期：2010-06-10"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統及版本,"Symbian OS v9.3, Series 60 rel. 3.2"
機身顏色,銀色、灰色
尺寸,112 x 46 x 12.3 mm
重量,89 gram
操控,數字鍵盤
電池種類,鋰電池 (1050mAh)
可更換電池,不詳
通話時間,300 分鐘
備用時間,670 小時
RAM 容量,50MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,16GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.2 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,320 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,支援
短片拍攝,VGA@15fps
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264
收音機,Stereo FM收音機RDS
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,-
gps 功能,GPS、AGPS
電腦連線,microUSB 2.0
視頻輸出,-
