0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2012 年 1 月
推出日期,約 2012 年 1 月
價格,"約 HK$4,798更新日期：2012-01-11"
網絡系統,LTE/ HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Windows Phone
中央處理器,1.4 GHz
操作系統及版本,Windows Phone 7.5 Mango
機身顏色,黑色、藍色
尺寸,127.8 x 68.5 x 11.5 mm
重量,160 gram
操控,輕觸式
電池種類,鋰電池 (1830h)
可更換電池,不詳
通話時間,7 小時
備用時間,300 小時
RAM 容量,16GB / 512MB RAM
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.3 吋
螢幕類別,ClearBlack AMOLED
螢幕解像度,800 x 480
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,130 萬像素鏡頭
閃光燈,LED
短片拍攝,720p
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.1、A2DP
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,AGPS
電腦連線,microUSB 2.0
視頻輸出,-
