0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2011 年 2 月
推出日期,約 2011 年 2 月
價格,"約 HK$4,398更新日期：2011-07-15"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
中央處理器,ARM 11 680MHz / 3D Graphics HW a
操作系統及版本,Symbian ^3 OS
機身顏色,灰色、銀色、綠色、藍色、橙色
尺寸,123.7 x 62.4 x 13.6 mm
重量,176 gram
操控,輕觸式、全 QWERTY 鍵盤
電池種類,鋰電池 (1200mAh)
可更換電池,不詳
通話時間,9 小時 (2G) / 5 小時 (3G)
備用時間,432 小時 (2G) / 480 小時 (3G)
RAM 容量,16GB storage / 256MB RAM、1GB ROM
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4 吋
螢幕類別,AMOLED
螢幕解像度,360 x 640
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,支援
短片拍攝,720p@25fps
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,Stereo FM收音機RDS
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v3.0、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,microUSB 2.0
視頻輸出,支援
