0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2013 年 10 月
推出日期,約 2013 年 10 月
價格,"約 HK$2,988更新日期：2014-01-04"
網絡系統,LTE/ HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Windows Phone
中央處理器,雙核 1.7 GHz
操作系統及版本,Windows Phone 8
機身顏色,黑色、黃色、白色、紅色
尺寸,164.2 x 85.9 x 9.8 mm
重量,220 gram
操控,輕觸式
電池種類,鋰電池 (3400mAh)
可更換電池,不詳
通話時間,10 小時
備用時間,400 小時
RAM 容量,8GB / 1GB RAM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,4X
視像鏡頭,1280 x 960 pixel
閃光燈,LED
短片拍攝,1080P
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v3.0、A2DP
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11a/ b/g/n)
gps 功能,"Magnetometer, A-GPS, A-GLONASS,"
電腦連線,microUSB 2.0
視頻輸出,MHL
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.nokia.com/global/products/phone/lumia1320/specifications/
