0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Nokia
發表日期,約 2007 年 11 月
推出日期,約 2007 年 11 月
網絡系統,GSM 900 / GSM 1800 / GSM 1900
機身顏色,紅色、藍色、橙色、黑色
尺寸,107 x 45 x 13.1 mm
重量,81 gram
電池種類,鋰電池 (860mAh)
可更換電池,不詳
通話時間,180 分鐘
備用時間,280 小時
RAM 容量,8.5MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,2GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,1.8 吋
螢幕類別,TFT
螢幕解像度,128 x 160
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,不支援
光學防震,不詳
光學變焦,-
數碼變焦,8X
視像鏡頭,-
閃光燈,不支援
短片拍攝,影片拍攝影片播放
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、eAAC+、WMA
短片播放格式,MPEG4、H.263
收音機,立體聲 FM 收音機
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍芽 v2.0
紅外線支援,不支援
流動數據,EDGE、GPRS
wifi 功能,不支援
gps 功能,不支援
電腦連線,USB 2.0
視頻輸出,-
