0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,vivo
發表日期,約 2021 年 2 月
推出日期,約 2021 年 2 月
價格,"約 HK$4,698更新日期：2022-01-26"
網絡系統,2G GSM: 850/900/1800/1900MHz; 2G CDMA: BC0; 3G WCDMA: B1/B2/B4/B5/B8; 3G CDMA2000: BC0; 4G TDD-LTE: B34/B38/B39/B40/B41; 4G FDD-LTE: B1/B2/B3/B4/B5/B7/B8/B28A; 5G: n1/n3/n28A/n41/n77/n78/n79.
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 870
圖像處理器,Adreno 650 GPU
操作系統及版本,Android 10
機身顏色,華彩、微光、原力
尺寸,159.63 X 75.01 X 7.4 mm
重量,176 gram
操控,輕觸式
電池種類,4300mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB/12GB LPDDR4X RAM
ROM 容量,128GB/256GB UFS3.1 ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.56 吋
螢幕類別,AMOLED
螢幕解像度,2376 x 1080
螢幕備註,120Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 4800 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,3200 萬像素
閃光燈,LED 閃光燈
相機功能,4800萬像素微雲台主攝（4軸OIS防抖，閉環馬達） 1300萬像素廣角攝像頭（120°超大視角，開啟畸變矯正後廣角度數為108°。） 1300萬像素人像攝像頭（50mm等效焦段） f/1.79（後置主攝），f/2.2（後置廣角），f/2.46（後置人像） 支持 CMOS 後置主攝支持微雲台防抖，後置均支持視頻防抖 後置三攝均支持AF自動對焦 後置支持數字變焦 前置：夜景、人像、拍照、錄像、全景、動態照片、短視頻、AR萌拍 後置：夜景、人像、拍照、錄像、全景、動態照片、慢鏡頭、短視頻、高像素、專業模式、延時攝影、AR萌拍、文檔矯正、運動抓拍、星空 MP4 支持UHD、FHD、HD錄製
短片拍攝,MP4
短片解像度,4K (60fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"Bluetooth 5.1, support aptX & aptX HD & LDAC & AAC"
紅外線支援,不支援
流動數據,"5G、LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,支持WLAN 2.4G、WLAN 5.1G、WLAN 5.8G頻
gps 功能,北斗/GPS/GLONASS/Galileo/QZSS
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,8GB + 3GB (内存融合)、vivo FlashCharge (33W)
