0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,-
推出日期,-
網絡系統,GSM 850 / GSM 900 / GSM 1800 / GSM 1900
機身顏色,白色
尺寸,82 x 61.5 x 16.6 mm
重量,110 gram
操控,QWERTY 鍵盤
電池種類,鋰電池 (930mAh)
可更換電池,不詳
通話時間,510 分鐘
備用時間,350 小時
RAM 容量,32MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.5 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,-
短片拍攝,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA
短片播放格式,MPEG4、H.263
收音機,Stereo FM收音機RDS
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,EDGE、GPRS
wifi 功能,-
gps 功能,-
電腦連線,microUSB 2.0
視頻輸出,-
