0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,-
推出日期,-
網絡系統,HSDPA / UTMS / GSM 900 / GSM 1800 / GSM 1900
中央處理器,TI OMAP2420， 330MHz
操作系統及版本,Symbian OS 9.2 (Series 60，V3.1 UIQ)
機身顏色,銀黑色
尺寸,109 x 50 x 15 mm
重量,100 gram
電池種類,鋰電池 (1030mAh)
可更換電池,不詳
通話時間,300 分鐘
備用時間,380 小時
RAM 容量,90MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.2 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,320 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,8X
視像鏡頭,30 萬像素鏡頭
閃光燈,不支援
短片拍攝,影片拍攝 (30fps)
短片解像度,640 x 480
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、eAAC+、WMA、RA v10
短片播放格式,H.263、H.264、MPEG4
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,A2DP、藍芽 v2.0
紅外線支援,不支援
流動數據,UMTS、EDGE、GPRS
wifi 功能,不支援
gps 功能,不支援
電腦連線,-
視頻輸出,-
