0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Motorola
發表日期,約 2017 年 1 月
推出日期,約 2017 年 1 月
價格,"約 HK$1,799更新日期：2017-01-20"
網絡系統,4G FDD LTE：G LTE FDD Band 38/40/41 (2300/2500/2600MHz) 4G LTE TDD：LTE TDD Band 1/3/5/7/8/20 (800/850/900/1800/2100/2600MHz) 3G UMTS：1/2/5/8 (850/900/1900/2100Mhz) 2G GSM：2/3/5/8 (850/900/1800/1900MHZ)
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Qualcomm Snapdragon 430 Octa core八核心處理器
操作系統及版本,Android 6.0
機身顏色,"星鑽銀,/香檳金"
尺寸,151 X 76 X 8.1 mm
重量,169 gram
操控,輕觸式
電池種類,4000 mAh
可更換電池,不支援
通話時間,3G 最長可達 16 小時
備用時間,3G 最長可達 15 天
RAM 容量,4GB RAM
ROM 容量,32GB ROM
可擴充記憶,micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,TFT
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1600 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"AMR-NB, AMR-WB, AAC, AAC+, eAAC+, MP3, PCM, , FLAC, MIDI, OGG/Vorbis,ac3, eac3"
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,"BT 4.1, 支援A2DP"
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 b/g/n 2.4 and 5GHz
gps 功能,GPS、AGPS
電腦連線,Micro USB 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
