0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2012 年 9 月
推出日期,約 2012 年 9 月
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 /
操作系統,Windows Phone
中央處理器,雙核 S4 1 Ghz
操作系統及版本,Windows Phone 8
機身顏色,黑色、藍色、黃色
尺寸,120.5 x 63 x 10.28 mm
重量,113 gram
操控,輕觸式
電池種類,鋰電池 (1700mAh)
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,512MB RAM / 16GB 內置記憶
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4 吋
螢幕類別,SLCD
螢幕解像度,480 x 800
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,LED
相機功能,有自動對焦和 LED 閃光燈的 500 萬像素相機 F2.8 光圈和 35mm 鏡頭 720p HD 錄影
短片拍攝,-
短片解像度,1080p
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.1、A2DP
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,microUSB
視頻輸出,DLNA 無線串流媒體，可從手
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.htc.com/hk-tc/smartphones/htc-wp-8s/#specs
